Data,Brand,Sito,Canale (Email/DM IG/DM LinkedIn),Link campione inviato,Messaggio inviato (S/N),Risposta (S/N),Data follow-up 1,Data follow-up 2,Stato,Note
,Topicals,mytopicals.com,DM IG @topicals,,N,,,,Da contattare,Priorita 1 - segnale ads confermato
,Starface,starface.world,DM IG @starface,,N,,,,Da contattare,Priorita 1 - 90M dollari/anno - molto attivo social
,SolaWave,solawave.co,DM IG @solawave,,N,,,,Da contattare,Priorita 1 - targeted Instagram ads confermato in fonte
,Saie,saiebeauty.com,DM IG @saiebeauty,,N,,,,Da contattare,Priorita 1 - campagna TikTok attiva 2025
,Merit Beauty,meritbeauty.com,DM IG @merit,,N,,,,Da contattare,Priorita 1
,Vacation Inc.,vacation.inc,DM IG,,N,,,,Da contattare,Priorita 1 - Instagram descritto come focus marketing
,OSEA Malibu,oseamalibu.com,Email,,N,,,,Da contattare,Priorita 1 - circa 7000 post sponsorizzati con influencer
,Blu Atlas,bluatlas.com,DM IG @bluatlas,,N,,,,Da contattare,Priorita 1 - crescita rapida citata da Forbes
,Pattern Beauty,patternbeauty.com,Email,,N,,,,Da contattare,Priorita 1 - programma Creator Squad attivo
,Act+Acre,actandacre.com,DM IG @actandacre,,N,,,,Da contattare,Priorita 1 - numero 1 scalpcare Sephora
